Nature,Synthesis
0.01032904502721425,0.003043966090425532
0.005283069437572159,0.0027011303191489364
0.005169676727692561,0.0028050199468085107
0.00796326076199901,0.003023188164893617
0.004365619330364506,0.002514128989361702
0.0036027956457199404,0.0028985206117021277
0.004128525482434439,0.0028777426861702126
0.0040305954148111495,0.003719248670212766
0.0035821787893781957,0.0024829621010638296
0.003530636648523833,0.0027842420212765956
0.002917285172356919,0.0029608543882978723
0.0033605475837044365,0.0032933011968085107
0.0070561190829622296,0.0087890625
0.004875886524822695,0.008124168882978724
0.006118052119412832,0.007843666888297872
0.006489155533564242,0.009827958776595746
0.004097600197921821,0.007469664228723404
0.0025307191159492,0.007708610372340425
0.003144070592116114,0.008477393617021276
0.0034945571499257794,0.00866439494680851
0.004051212271152895,0.0027011303191489364
0.0019637555665512124,0.0025660738031914893
0.0036234125020616855,0.0025037400265957447
0.00281935510473363,0.0035634142287234044
0.0027420418934520864,0.002908909574468085
0.004159450766947056,0.002815408909574468
0.002937902028698664,0.002763464095744681
0.0027214250371103412,0.003137466755319149
0.002216312056737589,0.004550365691489362
0.002138998845456045,0.0027842420212765956
0.00473156853043048,0.0027738530585106383
0.0038244268513936996,0.004955535239361702
0.003731650997855847,0.002721908244680851
0.0020101434933201385,0.0026180186170212767
0.001876133927098796,0.003023188164893617
0.004216147121886855,0.0036880817819148937
0.0035460992907801418,0.0028465757978723403
0.0026956539666831603,0.0028050199468085107
0.003942973775358734,0.002628407579787234
0.0024843311891802737,0.0036880817819148937
0.002226620484908461,0.002815408909574468
0.0028399719610753753,0.0027530751329787233
0.0017060448622793997,0.0028673537234042553
0.0030512947385782615,0.003719248670212766
0.0030255236681510805,0.004321808510638298
0.002004989279234702,0.002815408909574468
0.002958518885040409,0.0028050199468085107
0.003587333003463632,0.005007480053191489
0.008246742536698005,0.02527634640957447
0.004046058057067458,0.003999750664893617
0.003061603166749134,0.004030917553191489
0.007123123866072901,0.009765625
0.005999505195447798,0.004217918882978723
0.0036749546429160483,0.003927027925531915
0.004633638462807191,0.003937416888297873
0.0041388339106053105,0.004799700797872341
0.0057160234207488045,0.003916638962765957
0.004891349167079004,0.004062084441489362
0.004798573313541151,0.003968583776595745
0.004850115454395514,0.004633477393617021
0.006416996536368134,0.005474983377659575
0.004643946890978063,0.004165974069148936
0.006339683325086591,0.009537067819148936
0.008071499257793172,0.005734707446808511
0.00502020451921491,0.0035634142287234044
0.0036182582879762492,0.0038439162234042553
0.0016905822200230908,0.0038023603723404257
0.005128443015009071,0.0034803025265957447
0.0026028781131453077,0.00341796875
0.0032471548738248392,0.0037608045212765956
0.002298779482104569,0.003625748005319149
0.003221383803397658,0.004363364361702127
0.0039945159162130955,0.004072473404255319
0.004710951674088735,0.0036776928191489364
0.004314077189510143,0.0037608045212765956
0.0037677304964539005,0.004768533909574468
0.0038708147781626257,0.005017869015957447
0.004597558964209138,0.0035010804521276597
0.0034017812963879268,0.0036673038563829786
0.005540780141843972,0.006004820478723404
