Nature,Synthesis
0.08213198069925645,0.06856863839285714
0.05170265780730897,0.06979432397959184
0.04615567157095396,0.04887794961734694
0.08655177187153931,0.1012436224489796
0.06048785793387122,0.06456273915816327
0.045987581078943206,0.04486208545918367
0.05715076728365765,0.044353874362244895
0.05283974054738174,0.05613241390306122
0.05395704793545325,0.06431361607142858
0.06604967568422718,0.04489198022959184
0.04836062331909508,0.04397520727040816
0.05952380952380952,0.054896763392857144
0.0671422638822971,0.09092992665816327
0.05514356905552919,0.05073142538265306
0.07454318936877076,0.07053172831632654
0.0922717924379054,0.08133370535714286
