Nature,Synthesis
0.08213198069925645,0.08478156887755102
0.05170265780730897,0.05333227040816327
0.04615567157095396,0.04663584183673469
0.08655177187153931,0.08675462372448979
0.06048785793387122,0.06096540178571429
0.045987581078943206,0.044642857142857144
0.05715076728365765,0.056321747448979595
0.05283974054738174,0.05233577806122449
0.05395704793545325,0.053411989795918366
0.06604967568422718,0.0643734056122449
0.04836062331909508,0.04838966836734694
0.05952380952380952,0.05865353954081633
0.0671422638822971,0.0686782525510204
0.05514356905552919,0.05508609693877551
0.07454318936877076,0.07220583545918367
0.0922717924379054,0.0934311224489796
